Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
54,The Colt Car Company Limited,GB,Wholesale,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
55,ALD Automotive Limited,GB,Transport: General,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
56,APS Growers Ltd,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
57,API Group plc,GB,Paper & cardboard,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
58,The Economist Group Limited,GB,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
59,GB Group plc,GB,Technology: Other,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
60,Walt Disney,US,Entertainment,32,25,7,1.0,4,3,0.5,True,True,True,False,2025-07-01
61,Walney (UK) Offshore Windfarms Ltd.,GB,Renewable energy,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
62,G4S,GB,Security companies,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
63,WH Smith,Unknown,Unknown,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
64,WD  Meats,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
65,WCF Ltd,GB,Wholesale,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
66,GMI Construction Group plc,GB,Engineering,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
67,The Body Shop International Limited,GB,Consumer products/retail: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
68,AO World plc,GB,Retail,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
69,ARRIS International plc,US,"Technology: Electronics, Internet and telecom providers",32,25,7,1.1,3,3,0.667,True,True,False,False,2025-07-01
70,The Silver Spoon Company Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
71,Galliford Try,GB,Construction;Engineering,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
72,Gallagher Ltd. UK,GB,"Electrical appliance;Oil, gas & coal;Water companies",32,25,7,1.2,5,4,1.0,True,True,True,False,2025-07-01
73,Gardiner & Theobald LLP,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
74,Gap,US,Clothing & textile,32,25,7,1.2,6,4,1.0,True,True,True,False,2025-07-01
75,Gazprom,RU,"Oil, gas & coal",32,25,7,1.2,6,3,1.0,True,True,True,False,2025-07-01
76,Gattaca plc,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
77,Exertis (UK) Ltd,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
78,ExxonMobil,US,"Oil, gas & coal",32,25,7,1.2,7,3,1.0,True,True,True,False,2025-07-01
79,General Medical Council,GB,Charity/Non-Profit,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
80,General Dynamics,US,Aircraft/Airline;Military/defence,32,25,7,1.0,4,3,0.5,True,True,False,False,2025-07-01
81,Gemfields,GB,Jewellery;Mining,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
82,Gem Diamonds,GB,Diamond,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
83,Terma A/S,DK,Military/weapons/security equipment: General;Security companies,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
84,Thames Water Utilities Ltd,GB,Utilities: General;Water companies,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
85,Thames Valley Housing Association Ltd,GB,Real estate: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
